,amostra,filename,time,class,insigths,segment,wc,wps,i,we,you,they,article,verb,auxverb,past,present,future,adverb,preps,conj,negate,swear,family,friend,humans,affect,posemo,negemo,anx,sad,cogmech,insight,cause,discrep,tentat,certain
0,Daniela,and01.txt,-10,0,0,1,0.620347394541,0.548421052632,0.638820638821,0.304182509506,0.0,0.377358490566,0.367346938776,0.494633691087,0.653289780681,0.671798460462,0.268832259871,0.171673819742,0.409836065574,0.458988525287,0.821661998133,0.333333333333,0.142857142857,,0.650406504065,0.166666666667,0.478260869565,0.864345738295,0.1,0.0,0.0,0.885453267744,0.496551724138,0.608365019011,0.392156862745,0.168067226891,1.0
1,Daniela,and02.txt,-9,0,0,1,0.54094292804,0.637368421053,0.788697788698,0.174904942966,0.0,0.0,0.280612244898,0.449603359776,0.470835277648,0.0965710286914,0.41108933072,0.785407725322,0.470286885246,0.467913302167,0.556489262372,0.526041666667,0.0,,0.0,0.2875,0.249456521739,0.440576230492,0.0575,0.0,0.0620782726046,0.854181307098,0.315862068966,0.174904942966,0.449579831933,0.514005602241,0.763888888889
2,Daniela,and03.txt,-8,0,0,1,0.0347394540943,0.245789473684,0.877764127764,0.0,0.0,0.0,0.0,1.0,1.0,0.499650104969,1.0,0.0,0.0,0.607309817255,0.0,0.74375,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.752986647927,0.984827586207,0.0,1.0,1.0,0.0
3,Daniela,and04.txt,-7,0,0,1,1.0,0.451052631579,0.883906633907,0.0,0.0733137829912,0.471698113208,0.152040816327,0.573261782548,0.69482034531,0.417074877537,0.395967516102,0.532188841202,0.686475409836,0.358691032724,0.880485527544,0.439583333333,0.176785714286,,0.406504065041,0.310416666667,0.485326086957,0.655462184874,0.216875,0.0,0.0674763832659,0.994026704146,0.718620689655,0.566539923954,0.591036414566,0.452380952381,0.688888888889
4,Daniela,and05.txt,-6,0,0,1,0.27047146402,0.637368421053,0.507371007371,0.0,0.0,0.867924528302,0.186734693878,0.492300513299,0.642090527298,0.38488453464,0.385326239149,0.394849785408,0.939549180328,0.701657458564,0.771241830065,0.0,0.164285714286,,0.0,0.572916666667,0.398913043478,0.21968787515,0.34375,0.604395604396,0.0,0.741391426564,0.506206896552,0.174904942966,0.256302521008,0.642857142857,0.763888888889
5,Daniela,and06.txt,-5,0,0,1,0.218362282878,0.356315789474,0.628378378378,0.0,1.0,0.0,0.464285714286,0.424171721885,0.689220718619,0.158852344297,0.350042005041,0.974248927039,0.581967213115,0.337866553336,0.530345471522,0.11875,0.0,,0.0,0.2375,0.741304347826,0.546218487395,0.496875,0.498901098901,0.153846153846,0.518973998595,0.15724137931,0.0,0.159663865546,0.317927170868,0.630555555556
6,Daniela,and07.txt,-4,0,0,1,0.523573200993,0.444210526316,0.495085995086,0.0,0.0,0.896226415094,0.435714285714,0.486467568829,0.486700886608,0.364590622813,0.358443013162,0.407725321888,0.873975409836,0.422864428389,0.707749766573,0.295833333333,0.0,,0.382113821138,0.295833333333,0.566847826087,0.853541416567,0.2075,0.208791208791,0.0634278002699,0.749472944483,0.195862068966,0.180608365019,0.266106442577,0.598039215686,0.527777777778
7,Daniela,and08.txt,-3,0,0,1,0.401985111663,0.448947368421,0.834152334152,0.0,0.0,0.0,0.504081632653,0.417638824078,0.287914139057,0.129461161652,0.414729767572,0.0,0.379098360656,0.524861878453,0.979458450047,0.0645833333333,0.110714285714,,1.0,0.129166666667,0.939130434783,0.740696278511,0.694375,0.406593406593,1.0,0.672522839072,0.426206896552,0.821292775665,0.0868347338936,0.0868347338936,0.0
8,Daniela,and09.txt,-2,0,0,1,0.138957816377,0.589473684211,0.657862407862,0.680608365019,0.0,0.0,0.911224489796,0.416705552963,0.499766682221,1.0,0.0999719966396,0.0,0.914959016393,0.531236719082,1.0,0.0,0.0,,0.0,0.372916666667,0.388043478261,0.428571428571,0.223125,0.393406593407,0.241565452092,0.81553056922,0.0,0.34030418251,0.250700280112,0.5,0.0
9,Daniela,and10.txt,-1,0,0,1,0.305210918114,0.588421052632,0.79914004914,0.307984790875,0.0,0.764150943396,0.0826530612245,0.4174055063,0.379374708353,0.341497550735,0.318678241389,0.0,1.0,0.691032724182,0.759103641457,0.0,0.144642857143,,0.0,0.16875,0.353260869565,0.390156062425,0.203125,0.178021978022,0.109311740891,1.0,0.224827586207,0.463878326996,0.683473389356,0.455182072829,0.225
10,Daniela,and11.txt,0,1,1,1,0.342431761787,0.558947368421,0.979115479115,0.0,0.0,0.0,0.591836734694,0.557862809146,0.743817078861,0.557732680196,0.365163819658,0.622317596567,0.668032786885,0.4003399915,0.879551820728,0.830208333333,0.128571428571,,0.0,0.452083333333,0.236413043478,0.0,0.271875,0.158241758242,0.0971659919028,0.789177793394,1.0,0.412547528517,0.710084033613,0.203081232493,0.0
11,Daniela,and12.txt,1,2,0,1,0.0942928039702,1.0,0.646805896806,1.0,0.771260997067,0.0,0.536734693878,0.30704619692,0.122725151657,0.0,0.368524222907,0.0,0.269467213115,0.671058223544,0.983193277311,0.0,0.0,,0.0,0.0,0.428804347826,0.947178871549,0.0,0.0,0.0,0.832044975404,0.36275862069,1.0,0.0,0.0,0.730555555556
12,Daniela,and13.txt,2,2,0,1,0.126550868486,0.191578947368,0.601965601966,0.0,0.0,0.0,1.0,0.182921138591,0.365842277182,0.137158852344,0.164659759171,0.0,0.200819672131,1.0,0.0,0.204166666667,0.0,,0.0,0.408333333333,0.852717391304,0.941176470588,0.49,0.861538461538,0.264507422402,0.482431482783,0.270344827586,0.372623574144,0.274509803922,0.549019607843,0.544444444444
13,Daniela,and14.txt,3,2,0,1,0.31017369727,0.438421052632,0.884520884521,0.0,0.469208211144,0.0,0.0816326530612,0.50396640224,0.597293513766,0.167949615115,0.537664519742,0.0,0.573770491803,0.54398640034,0.448179271709,1.0,1.0,,0.0,1.0,1.0,0.288115246098,1.0,0.0,0.107962213225,0.309205903022,0.110344827586,0.152091254753,0.0,0.0,0.222222222222
14,Daniela,and15.txt,4,2,0,1,0.196029776675,0.462105263158,0.933046683047,0.0,0.0,0.0,0.258163265306,0.35440970602,0.11805879608,0.0888733379986,0.354522542705,0.0,0.13012295082,0.430514237144,0.827264239029,0.0,0.0,,0.0,0.0,0.34402173913,0.759903961585,0.0,0.0,0.0,0.889669711876,0.524137931034,0.722433460076,0.532212885154,0.532212885154,0.352777777778
15,Daniela,and16.txt,5,2,0,1,0.29776674938,0.371578947368,0.767813267813,0.0,0.489736070381,0.783018867925,0.425510204082,0.524965002333,0.466635557629,0.524842547236,0.326799215906,0.356223175966,0.597336065574,0.283467913302,0.544351073763,0.0864583333333,0.0,,0.0,0.0,0.724456521739,1.0,0.3125,0.0,0.562753036437,0.497891777934,0.459310344828,0.0,0.116246498599,0.233893557423,0.230555555556
16,Daniela,and17.txt,6,2,0,1,0.109181141439,0.289473684211,0.977272727273,0.0,0.0,0.0,0.695918367347,0.371208586094,0.636490900607,0.0,0.3819658359,0.0,0.698770491803,0.386315342116,0.848739495798,0.473958333333,0.0,,0.0,0.0,0.741304347826,0.818727490996,0.42625,1.0,0.306342780027,0.399156711174,0.313103448276,0.0,0.317927170868,0.317927170868,0.630555555556
17,Daniela,and18.txt,7,2,0,1,0.233250620347,0.494736842105,0.522727272727,0.0,0.0,1.0,0.542857142857,0.372375174988,0.297713485768,0.0,0.416970036404,0.454935622318,0.545081967213,0.632809179771,0.595704948646,0.110416666667,0.0,,0.0,0.0,0.23152173913,0.382953181273,0.06625,0.0,0.0,0.672874209417,0.0,0.201520912548,0.596638655462,0.745098039216,0.294444444444
18,Daniela,and19.txt,8,2,0,1,0.106699751861,0.565789473684,1.0,0.0,0.0,0.0,0.474489795918,0.37984134391,0.325711619225,0.488453463961,0.195463455615,1.0,0.47643442623,0.296642583935,0.65172735761,0.0,0.0,,0.0,0.0,0.379347826087,0.83793517407,0.0,0.0,0.0,0.817287420942,0.321379310345,0.0,0.977591036415,0.326330532213,0.647222222222
19,Daniela,and20.txt,9,2,0,1,0.51364764268,0.641052631579,0.860565110565,0.0,0.0,0.452830188679,0.295918367347,0.608726084928,0.789080727951,0.574527641707,0.338280593671,0.206008583691,0.643442622951,0.47216319592,0.857142857143,0.402083333333,0.0,,0.0,0.402083333333,0.525,0.579831932773,0.301875,0.213186813187,0.130904183536,0.814827828531,0.333793103448,0.642585551331,0.676470588235,0.812324929972,0.269444444444
20,Daniela,and21.txt,10,2,0,1,0.980148883375,0.506842105263,0.808353808354,0.0,0.0733137829912,0.481132075472,0.387755102041,0.561129258049,0.75594960336,0.336599020294,0.404088490619,0.545064377682,0.622950819672,0.495112622184,0.685340802988,0.421875,0.0446428571429,,0.20325203252,0.10625,0.385326086957,0.607442977191,0.126875,0.0549450549451,0.0688259109312,0.791637385805,0.663448275862,0.673003802281,0.177871148459,0.247899159664,0.913888888889
21,Daniela,bq4.01.txt,-10,0,0,1,0.516295025729,0.626430801249,0.310837438424,0.11,0.0,0.345454545455,0.668416447944,0.572928383952,0.4815,0.656213704994,0.274090738658,0.345454545455,0.399099774944,0.479440069991,0.498124531133,0.0989505247376,0.0,0.255102040816,0.594594594595,0.25974025974,0.415,0.249166666667,0.240628778718,0.0857142857143,0.109634551495,0.597869996328,0.349325337331,0.176,0.59820089955,0.287694974003,0.091922005571
